provincia,ciudad,sector,tipo_propiedad,habitaciones,banos,parqueos,m2_construccion,precio_usd
Distrito Nacional,Santo Domingo,Evaristo Morales,Apartamento,1,2,1,147,245343.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Villa,4,4,3,394,875468.00
Santiago,Santiago de los Caballeros,El Dorado II,Apartamento,2,2,1,168,315336.00
Santiago,Santiago de los Caballeros,La Trinitaria,Apartamento,1,2,1,256,692736.00
Puerto Plata,Puerto Plata,Costámbar,Casa,5,3,4,691,1147060.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Casa,4,6,4,449,919103.00
Puerto Plata,Puerto Plata,Playa Dorada,Apartamento,2,2,2,73,87308.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Apartamento,4,1,2,147,302526.00
La Romana,La Romana,Buena Vista,Townhouse,1,1,2,246,441816.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,4,1,2,178,260770.00
La Romana,La Romana,Casa de Campo,Villa,5,6,4,383,690166.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,1,3,2,54,111186.00
La Altagracia,Punta Cana,Punta Cana Village,Casa,4,6,2,267,492615.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Apartamento,2,2,2,190,273220.00
Santiago,Santiago de los Caballeros,La Barranquita,Townhouse,2,3,2,221,411944.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,2,2,1,136,155448.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Casa,4,2,2,240,316320.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Villa,3,6,2,465,1032300.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,4,2,2,256,494848.00
Santo Domingo,Santo Domingo Oeste,Herrera,Casa,6,4,3,600,1083600.00
Distrito Nacional,Santo Domingo,Naco,Casa,5,2,2,376,721920.00
La Romana,La Romana,Buena Vista,Casa,4,4,3,435,436740.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,3,2,2,350,588700.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,6,2,2,568,485072.00
Puerto Plata,Puerto Plata,Costámbar,Penthouse,4,4,3,504,1438920.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Casa,4,2,4,735,715890.00
La Altagracia,Punta Cana,Bávaro,Casa,6,6,4,341,329406.00
La Romana,La Romana,Casa de Campo,Villa,3,6,2,420,1090740.00
Santo Domingo,Santo Domingo Este,Las Américas,Casa,3,6,2,609,1337364.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,3,2,2,111,182373.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,3,4,2,242,302016.00
Distrito Nacional,Santo Domingo,El Millón,Apartamento,1,1,1,179,294097.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Villa,4,4,3,341,595727.00
La Romana,La Romana,Central Romana,Apartamento,1,3,1,84,137844.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Apartamento,2,3,2,204,312324.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,3,4,2,63,125811.00
Puerto Plata,Puerto Plata,Costámbar,Casa,5,3,4,448,528640.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,1,1,1,226,317530.00
La Romana,La Romana,Casa de Campo,Villa,4,5,2,222,509490.00
La Altagracia,Punta Cana,Bávaro,Villa,4,3,4,285,448590.00
La Romana,La Romana,Buena Vista,Townhouse,2,2,1,254,371348.00
Puerto Plata,Puerto Plata,Sosúa,Casa,5,5,4,434,605864.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,1,4,1,101,206242.00
La Altagracia,Punta Cana,Punta Cana Village,Villa,4,3,2,377,628082.00
La Altagracia,Punta Cana,Punta Cana Village,Villa,5,4,4,701,1169268.00
